link_id,relation_type,basis,confidence,source_kind,source_standard_id,source_criterion_id,source_criterion_code,source_criterion_title,source_resource_id,source_url,target_standard_id,target_criterion_code,target_profile_ref,target_url,evidence_excerpt,source_dataset
xref-00001,direct_sc_reference_intra_standard,direct,high,normative_success_criterion,wcag-2.2,non-text-content,1.1.1,Non-text Content,,https://www.w3.org/TR/WCAG22/#non-text-content,wcag-2.2,4.1.2,,https://www.w3.org/TR/WCAG22/#name-role-value,"All non-text content that is presented to the user has a text alternative that serves the equivalent purpose, except for the situations listed below. If non-text content is a cont…",normative_text_pattern_match
xref-00002,direct_sc_reference_intra_standard,direct,high,normative_success_criterion,wcag-2.2,timing-adjustable,2.2.1,Timing Adjustable,,https://www.w3.org/TR/WCAG22/#timing-adjustable,wcag-2.2,3.2.1,,https://www.w3.org/TR/WCAG22/#on-focus,"For each time limit that is set by the content, at least one of the following is true: The user is allowed to turn off the time limit before encountering it; or The user is allowe…",normative_text_pattern_match
xref-00003,direct_sc_reference_intra_standard,direct,high,normative_success_criterion,wcag-2.2,section-headings,2.4.10,Section Headings,,https://www.w3.org/TR/WCAG22/#section-headings,wcag-2.2,4.1.2,,https://www.w3.org/TR/WCAG22/#name-role-value,"Section headings are used to organize the content. ""Heading"" is used in its general sense and includes titles and other ways to add a heading to different types of content. This s…",normative_text_pattern_match
xref-00004,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_a111,A.1.1.1,Web-Based Accessible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_a111,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool contains web-based user interfaces , then those web-based user interfaces meet the WCAG 2.0 success criteria.",normative_text_pattern_match
xref-00005,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b111,B.1.1.1,Content Auto-Generation After Authoring Sessions (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b111,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"The authoring tool does not automatically generate web content after the end of an authoring session, or, authors can specify that the content be accessible web content (WCAG) .",normative_text_pattern_match
xref-00006,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b123,B.1.2.3,Optimizations Preserve Accessibility,,https://www.w3.org/TR/ATAG20/#sc_b123,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool provides optimizing web content transformations , then any accessibility information (WCAG) in the input is preserved in the output. .",normative_text_pattern_match
xref-00007,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b211,B.2.1.1,Accessible Content Possible (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b211,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,The authoring tool does not place restrictions on the web content that authors can specify or those restrictions do not prevent WCAG 2.0 success criteria from being met.,normative_text_pattern_match
xref-00008,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b221,B.2.2.1,Accessible Option Prominence (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b221,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If authors are provided with a choice of authoring actions for achieving the same authoring outcome (e.g. styling text), then options that will result in accessible web content (W…",normative_text_pattern_match
xref-00009,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b241,B.2.4.1,Accessible Template Options (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b241,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool provides templates , then there are accessible template (WCAG) options for a range of template uses.",normative_text_pattern_match
xref-00010,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b242,B.2.4.2,Identify Template Accessibility,,https://www.w3.org/TR/ATAG20/#sc_b242,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool includes a template selection mechanism and provides any non- accessible template (WCAG) options , then the template selection mechanism can display distinct…",normative_text_pattern_match
xref-00011,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b244,B.2.4.4,Accessible Template Options (Enhanced),,https://www.w3.org/TR/ATAG20/#sc_b244,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool provides templates , then all of the templates are accessible template (to WCAG Level AA) .",normative_text_pattern_match
xref-00012,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b251,B.2.5.1,Accessible Pre-Authored Content Options,,https://www.w3.org/TR/ATAG20/#sc_b251,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool provides pre-authored content , then a range of accessible pre-authored content (to WCAG Level AA) options are provided.",normative_text_pattern_match
xref-00013,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b311,B.3.1.1,Checking Assistance (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b311,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If the authoring tool provides authors with the ability to add or modify web content in such a way that a WCAG 2.0 success criterion can be violated, then accessibility checking f…",normative_text_pattern_match
xref-00014,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b312,B.3.1.2,Help Authors Decide,,https://www.w3.org/TR/ATAG20/#sc_b312,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,If the authoring tool provides accessibility checking that relies on authors to decide whether potential web content accessibility problems (WCAG) are correctly identified (i.e. m…,normative_text_pattern_match
xref-00015,direct_standard_reference,direct,high,normative_success_criterion,atag-2.0,sc_b321,B.3.2.1,Repair Assistance (WCAG),,https://www.w3.org/TR/ATAG20/#sc_b321,wcag-2.0,,,https://www.w3.org/TR/WCAG20/,"If checking (see Success Criterion B.3.1.1 ) can detect that a WCAG 2.0 success criterion is not met, then repair suggestion(s) are provided",normative_text_pattern_match
